Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI CHINA
2017-11-24,11,2,4,0,1,0,59.72766876220703
2017-11-27,11,2,4,0,1,0,58.60106658935547
2017-11-28,11,2,4,0,1,0,59.05686569213867
2017-11-29,11,2,4,0,1,0,57.58625411987305
2017-11-30,11,2,4,0,1,0,56.96704864501953
2017-12-01,12,2,4,0,1,0,56.16722106933594
2017-12-04,12,2,4,0,1,0,55.93502807617188
2017-12-05,12,2,4,0,1,0,55.68562698364258
2017-12-06,12,2,4,0,1,0,54.954620361328125
2017-12-07,12,2,4,0,1,0,55.29001998901367
2017-12-08,12,2,4,0,1,0,56.339237213134766
2017-12-11,12,2,4,0,1,0,57.01003646850586
2017-12-12,12,2,4,0,1,0,56.21883392333984
2017-12-13,12,2,4,0,1,0,57.26803970336914
2017-12-14,12,2,4,0,1,0,56.52843475341797
2017-12-15,12,2,4,0,1,0,56.425235748291016
2017-12-18,12,2,4,0,1,0,56.97564315795898
2017-12-19,12,2,4,0,1,0,56.72824096679688
2017-12-20,12,2,4,0,1,0,56.702110290527344
2017-12-21,12,2,4,0,1,0,57.74747085571289
2017-12-22,12,2,4,0,1,0,58.17432403564453
2017-12-26,12,2,4,0,1,0,57.87813949584961
2017-12-27,12,2,4,0,1,0,57.64292144775391
2017-12-28,12,2,4,0,1,0,57.84328842163086
2017-12-29,12,2,4,0,1,0,57.96525955200195
2018-01-02,1,1,1,0,1,0,60.22148895263672
2018-01-03,1,1,1,0,1,0,60.70061111450195
2018-01-04,1,1,1,0,1,0,61.07520294189453
2018-01-05,1,1,1,0,1,0,61.51076126098633
2018-01-08,1,1,1,0,1,0,61.8156623840332
2018-01-09,1,1,1,0,1,0,61.85050964355469
