Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI SOUTH AFRICA
2017-08-18,8,2,3,0,1,0,41.18984222412109
2017-08-21,8,2,3,0,1,0,41.33867645263672
2017-08-22,8,2,3,0,1,0,41.5551872253418
2017-08-23,8,2,3,0,1,0,41.9205436706543
2017-08-24,8,2,3,0,1,0,41.94083023071289
2017-08-25,8,2,3,0,1,0,42.67830657958984
2017-08-28,8,2,3,0,1,0,42.4144287109375
2017-08-29,8,2,3,0,1,0,42.43473052978516
2017-08-30,8,2,3,0,1,0,42.06938171386719
2017-08-31,8,2,3,0,1,0,42.29942321777344
2017-09-01,9,2,3,0,1,0,42.74595642089844
2017-09-05,9,2,3,0,1,0,42.258827209472656
2017-09-06,9,2,3,0,1,0,42.1573371887207
2017-09-07,9,2,3,0,1,0,42.4617919921875
2017-09-08,9,2,3,0,1,0,41.72432708740234
2017-09-11,9,2,3,0,1,0,41.92729187011719
2017-09-12,9,2,3,0,1,0,41.839351654052734
2017-09-13,9,2,3,0,1,0,41.2980842590332
2017-09-14,9,2,3,0,1,0,41.176307678222656
2017-09-15,9,2,3,0,1,0,41.04775619506836
2017-09-18,9,2,3,0,1,0,40.60121154785156
2017-09-19,9,2,3,0,1,0,40.70269775390625
2017-09-20,9,2,3,0,1,0,40.662109375
2017-09-21,9,2,3,0,1,0,40.729766845703125
2017-09-22,9,2,3,0,1,0,40.75682830810547
2017-09-25,9,2,3,0,1,0,40.24263000488281
2017-09-26,9,2,3,0,1,0,39.77579116821289
2017-09-27,9,2,3,0,1,0,39.20746994018555
2017-09-28,9,2,3,0,1,0,39.27513122558594
2017-09-29,9,2,3,0,1,0,39.74872970581055
2017-10-02,10,2,4,0,1,0,39.26837158203125
2017-10-03,10,2,4,0,1,0,39.62018585205078
2017-10-04,10,2,4,0,1,0,40.01259613037109
2017-10-05,10,2,4,0,1,0,40.28998565673828
2017-10-06,10,2,4,0,1,0,40.3441162109375
2017-10-09,10,2,4,0,1,0,40.181739807128906
2017-10-10,10,2,4,0,1,0,40.8041877746582
2017-10-11,10,2,4,0,1,0,41.32514953613281
2017-10-12,10,2,4,0,1,0,41.64990234375
2017-10-13,10,2,4,0,1,0,42.522682189941406
2017-10-16,10,2,4,0,1,0,42.47532653808594
2017-10-17,10,2,4,0,1,0,41.92729187011719
2017-10-18,10,2,4,0,1,0,41.69049453735352
2017-10-19,10,2,4,0,1,0,41.59578323364258
2017-10-20,10,2,4,0,1,0,41.36574935913086
2017-10-23,10,2,4,0,1,0,40.9327392578125
2017-10-24,10,2,4,0,1,0,40.66887664794922
2017-10-25,10,2,4,0,1,0,39.96523284912109
2017-10-26,10,2,4,0,1,0,39.44427490234375
2017-10-27,10,2,4,0,1,0,40.28998565673828
2017-10-30,10,2,4,0,1,0,40.229095458984375
2017-10-31,10,2,4,0,1,0,40.53355407714844
2017-11-01,11,2,4,0,1,0,40.56062698364258
2017-11-02,11,2,4,0,1,0,40.94626998901367
2017-11-03,11,2,4,0,1,0,40.45237350463867
2017-11-06,11,2,4,0,1,0,40.87861251831055
2017-11-07,11,2,4,0,1,0,40.50649642944336
2017-11-08,11,2,4,0,1,0,40.78388214111328
2017-11-09,11,2,4,0,1,0,40.62827301025391
2017-11-10,11,2,4,0,1,0,39.94493865966797
2017-11-13,11,2,4,0,1,0,39.81639099121094
2017-11-14,11,2,4,0,1,0,39.82992172241211
2017-11-15,11,2,4,0,1,0,39.843448638916016
2017-11-16,11,2,4,0,1,0,40.953033447265625
2017-11-17,11,2,4,0,1,0,42.238525390625
2017-11-20,11,2,4,0,1,0,42.52944946289063
2017-11-21,11,2,4,0,1,0,43.00305938720703
2017-11-22,11,2,4,0,1,0,42.92186737060547
2017-11-24,11,2,4,0,1,0,42.47532653808594
2017-11-27,11,2,4,0,1,0,42.68506240844727
2017-11-28,11,2,4,0,1,0,43.64580154418945
2017-11-29,11,2,4,0,1,0,43.56461715698242
2017-11-30,11,2,4,0,1,0,43.31428146362305
2017-12-01,12,2,4,0,1,0,42.96245956420898
2017-12-04,12,2,4,0,1,0,43.12483596801758
2017-12-05,12,2,4,0,1,0,43.35487747192383
2017-12-06,12,2,4,0,1,0,42.04908752441406
2017-12-07,12,2,4,0,1,0,41.35221481323242
2017-12-08,12,2,4,0,1,0,41.575477600097656
2017-12-11,12,2,4,0,1,0,41.379276275634766
2017-12-12,12,2,4,0,1,0,40.50649642944336
2017-12-13,12,2,4,0,1,0,41.73109436035156
2017-12-14,12,2,4,0,1,0,41.54165267944336
2017-12-15,12,2,4,0,1,0,42.56328201293945
2017-12-18,12,2,4,0,1,0,44.60653305053711
2017-12-19,12,2,4,0,1,0,45.0142707824707
2017-12-20,12,2,4,0,1,0,45.06207275390625
2017-12-21,12,2,4,0,1,0,45.663082122802734
2017-12-22,12,2,4,0,1,0,46.23678207397461
2017-12-26,12,2,4,0,1,0,46.86510467529297
2017-12-27,12,2,4,0,1,0,47.288536071777344
2017-12-28,12,2,4,0,1,0,47.17243957519531
2017-12-29,12,2,4,0,1,0,47.80076599121094
2018-01-02,1,1,1,0,1,0,47.7666244506836
2018-01-03,1,1,1,0,1,0,47.97150802612305
2018-01-04,1,1,1,0,1,0,47.78711700439453
2018-01-05,1,1,1,0,1,0,48.19004821777344
2018-01-08,1,1,1,0,1,0,47.60270309448242
