Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI BRAZIL
2017-08-21,8,2,3,0,1,0,24.705183029174805
2017-08-22,8,2,3,0,1,0,25.074960708618164
2017-08-23,8,2,3,0,1,0,25.55950164794922
2017-08-24,8,2,3,0,1,0,25.69338798522949
2017-08-25,8,2,3,0,1,0,25.591381072998047
2017-08-28,8,2,3,0,1,0,25.553129196166992
2017-08-29,8,2,3,0,1,0,25.591381072998047
2017-08-30,8,2,3,0,1,0,25.495744705200195
2017-08-31,8,2,3,0,1,0,25.502124786376957
2017-09-01,9,2,3,0,1,0,25.891033172607425
2017-09-05,9,2,3,0,1,0,26.12691879272461
2017-09-06,9,2,3,0,1,0,26.70709609985352
2017-09-07,9,2,3,0,1,0,26.911115646362305
2017-09-08,9,2,3,0,1,0,26.726219177246094
2017-09-11,9,2,3,0,1,0,27.127878189086918
2017-09-12,9,2,3,0,1,0,27.013113021850582
2017-09-13,9,2,3,0,1,0,27.032257080078125
2017-09-14,9,2,3,0,1,0,27.19801902770996
2017-09-15,9,2,3,0,1,0,27.637924194335938
2017-09-18,9,2,3,0,1,0,27.49766540527344
2017-09-19,9,2,3,0,1,0,27.45302963256836
2017-09-20,9,2,3,0,1,0,27.53591537475586
2017-09-21,9,2,3,0,1,0,27.17251205444336
2017-09-22,9,2,3,0,1,0,27.242647171020508
2017-09-25,9,2,3,0,1,0,26.64334487915039
2017-09-26,9,2,3,0,1,0,26.57320976257324
2017-09-27,9,2,3,0,1,0,26.088668823242188
2017-09-28,9,2,3,0,1,0,26.120548248291016
2017-09-29,9,2,3,0,1,0,26.57958602905273
2017-10-02,10,2,4,0,1,0,26.59871482849121
2017-10-03,10,2,4,0,1,0,27.52953720092773
2017-10-04,10,2,4,0,1,0,27.61879539489746
2017-10-05,10,2,4,0,1,0,27.49128532409668
2017-10-06,10,2,4,0,1,0,27.17251205444336
2017-10-09,10,2,4,0,1,0,26.777233123779297
2017-10-10,10,2,4,0,1,0,27.300025939941406
2017-10-11,10,2,4,0,1,0,27.376527786254883
2017-10-12,10,2,4,0,1,0,27.26176643371582
2017-10-13,10,2,4,0,1,0,27.631555557250977
2017-10-16,10,2,4,0,1,0,27.376527786254883
2017-10-17,10,2,4,0,1,0,27.185253143310547
2017-10-18,10,2,4,0,1,0,27.2235164642334
2017-10-19,10,2,4,0,1,0,27.09600067138672
2017-10-20,10,2,4,0,1,0,26.9429931640625
2017-10-23,10,2,4,0,1,0,26.28631401062012
2017-10-24,10,2,4,0,1,0,26.458446502685547
2017-10-25,10,2,4,0,1,0,26.70072364807129
2017-10-26,10,2,4,0,1,0,25.90378189086914
2017-10-27,10,2,4,0,1,0,26.49032592773437
2017-10-30,10,2,4,0,1,0,25.60413360595703
2017-10-31,10,2,4,0,1,0,25.610504150390625
2017-11-01,11,2,4,0,1,0,25.438371658325195
2017-11-02,11,2,4,0,1,0,25.438371658325195
2017-11-03,11,2,4,0,1,0,25.06220817565918
2017-11-06,11,2,4,0,1,0,25.731639862060547
2017-11-07,11,2,4,0,1,0,24.96657371520996
2017-11-08,11,2,4,0,1,0,25.69338798522949
2017-11-09,11,2,4,0,1,0,25.25347328186035
2017-11-10,11,2,4,0,1,0,24.756179809570312
2017-11-13,11,2,4,0,1,0,24.832687377929688
2017-11-14,11,2,4,0,1,0,24.061254501342773
2017-11-15,11,2,4,0,1,0,24.23976325988769
2017-11-16,11,2,4,0,1,0,25.030332565307617
2017-11-17,11,2,4,0,1,0,25.393739700317383
2017-11-20,11,2,4,0,1,0,25.623252868652344
2017-11-21,11,2,4,0,1,0,25.776273727416992
2017-11-22,11,2,4,0,1,0,26.050413131713867
2017-11-24,11,2,4,0,1,0,25.967533111572266
2017-11-27,11,2,4,0,1,0,25.878278732299805
2017-11-28,11,2,4,0,1,0,26.139673233032227
2017-11-29,11,2,4,0,1,0,25.285356521606445
2017-11-30,11,2,4,0,1,0,24.67330741882324
2017-12-01,12,2,4,0,1,0,24.883697509765625
2017-12-04,12,2,4,0,1,0,25.272607803344727
2017-12-05,12,2,4,0,1,0,25.215221405029297
2017-12-06,12,2,4,0,1,0,25.521244049072266
2017-12-07,12,2,4,0,1,0,24.896446228027344
2017-12-08,12,2,4,0,1,0,24.87094116210937
2017-12-11,12,2,4,0,1,0,24.92194366455078
2017-12-12,12,2,4,0,1,0,25.55950164794922
